Column1;Column2;Column3;Column4
BehaviorSpace results (NetLogo 6.0.4);;;
miners.nlogo;;;
experiment;;;
02/21/2019 21:31:27:989 +0300;;;
min-pxcor;max-pxcor;min-pycor;max-pycor
-16;16;-16;16
[run number];[step];[money] of turtles;[personality] of turtles
2;312;[72 41];[bad bad]
3;218;[99 17];[bad good]
4;259;[19 54 12];[good good good]
1;333;[48 63];[good good]
7;172;[2 68 24];[bad good good]
6;255;[15 31 35];[good good bad]
5;263;[18 36 56];[bad bad bad]
8;172;[26 41 15 1];[good bad good good]
10;148;[22 24 10 47];[good good good good]
11;268;[2 41 28];[bad good bad]
12;93;[56 10 6 16];[bad good good good]
9;527;[106];[bad]
13;235;[27 20 13 29];[bad good good good]
14;100;[22 35 13 7 10];[good good good good good]
17;421;[72 36];[good good]
18;196;[64 17 17];[bad good bad]
15;231;[24 66 6];[bad bad good]
20;69;[0 5 71 17];[bad good bad good]
19;330;[5 89];[good bad]
21;259;[20 90];[bad good]
16;483;[3 83];[good bad]
22;238;[66 28 15];[good bad bad]
25;199;[41 21 21];[bad bad good]
23;598;[96];[bad]
27;393;[1 43 39 12];[good good good good]
26;682;[106];[good]
24;163;[44 19 78];[bad good good]
30;83;[30 13 27 20];[bad bad good good]
28;659;[32 64 9];[good good good]
33;153;[101 5];[bad bad]
29;693;[89];[good]
32;716;[101];[good]
35;156;[38 8 29];[bad bad bad]
34;366;[42 13 39];[bad bad bad]
31;458;[57 38];[bad good]
37;464;[122];[bad]
39;89;[29 8 62];[bad good bad]
36;542;[115];[bad]
40;442;[16 107];[bad bad]
42;103;[54 11 10 0];[bad good bad bad]
43;94;[12 21 5 6 25];[bad good good good good]
38;1093;[88];[bad]
44;202;[54 42 0];[bad good bad]
41;265;[28 66];[bad bad]
45;190;[9 19 33 3 3];[good good good good bad]
46;188;[33 15 29 21];[good good good good]
47;263;[40 26 19];[bad good good]
50;171;[19 40 13 28];[good good good good]
48;127;[78 21];[bad good]
52;163;[47 32];[good bad]
51;428;[34 81];[good bad]
54;77;[10 11 15 15 38];[good good good good good]
49;576;[16 69 30];[good good good]
55;212;[92 16 26];[bad good good]
57;179;[23 24 3 32];[good good bad good]
53;215;[65 31];[bad good]
56;272;[55 35 9];[good good bad]
58;103;[23 8 38 8];[good good bad bad]
60;144;[50 35];[bad good]
61;190;[85 12];[bad good]
59;451;[87 4 70];[good good good]
62;498;[97];[bad]
63;176;[11 136 16];[bad good good]
65;206;[26 16 46];[good good good]
68;64;[25 16 6 14 30];[bad good bad bad good]
66;111;[9 28 14 6 30];[bad good good bad good]
64;361;[2 125];[good good]
70;224;[88 43];[bad bad]
71;308;[21 59];[good bad]
72;413;[136];[bad]
67;312;[44 65];[good bad]
73;1107;[181];[bad]
74;301;[35 32 1 21];[good good good bad]
69;1452;[173];[bad]
75;164;[13 25 19 22 4];[good bad good bad good]
77;78;[25 26 8 23];[good bad good good]
76;157;[27 22 17 22 6];[good bad good good good]
81;88;[30 20 31 3 12];[good good good good good]
80;116;[11 82 4];[bad bad good]
79;102;[35 8 7 9 14];[good bad bad good bad]
78;226;[11 86 8];[good bad good]
83;124;[29 0 83];[bad bad good]
85;61;[12 28 0 60];[good good good good]
82;543;[123];[bad]
88;60;[30 15 33 4 0];[good bad bad bad good]
87;191;[43 0 10 13 10];[good good good good bad]
86;219;[50 31 16];[good bad good]
89;211;[14 12 86];[good good bad]
90;345;[88];[bad]
84;419;[175];[good]
92;168;[33 1 64];[bad good good]
93;110;[20 26 11 45];[bad bad good bad]
94;212;[70 22];[bad good]
95;239;[55 24];[bad good]
96;388;[105];[bad]
91;889;[119];[good]
98;200;[21 19 21 2 11];[good good good good good]
100;90;[17 29 31 0 5];[good good bad bad good]
99;294;[22 44 32];[good bad good]
102;263;[104];[good]
101;226;[98 16];[good bad]
105;199;[51 41];[bad bad]
104;222;[17 2 17 43];[good bad good good]
107;104;[9 38 28];[bad bad bad]
97;1377;[86];[bad]
108;219;[114];[bad]
106;427;[57 43];[bad bad]
110;71;[19 0 26 23 5];[bad good good good bad]
103;877;[113];[good]
112;94;[1 42 16 34];[good bad good bad]
114;141;[62 32];[bad good]
115;289;[2 80 36];[good good good]
109;194;[29 11 3 64];[good good good good]
113;510;[26 40 27];[bad bad good]
117;91;[4 28 60];[good bad good]
116;144;[45 28 22];[bad bad bad]
111;1023;[115];[bad]
119;69;[28 19 27 17];[good good good good]
121;83;[3 30 5 14 37];[good bad good good good]
118;237;[17 59 4];[good good bad]
122;78;[41 28 24];[bad good bad]
123;120;[24 19 16 8 21];[good good good good good]
120;403;[41 7 0 38];[good good bad good]
124;224;[107];[bad]
127;128;[2 15 51 25];[good bad bad bad]
128;154;[15 48 13];[good bad good]
130;95;[14 1 33 49];[good good good good]
126;1226;[77];[bad]
125;487;[33 54 29];[good good good]
132;119;[12 78];[bad good]
131;368;[24 64];[bad good]
129;679;[101];[bad]
134;159;[18 28 39];[bad good good]
135;90;[10 6 76];[good good good]
136;368;[26 63];[good bad]
133;532;[89];[bad]
137;218;[64 68];[bad good]
139;143;[62 37 10];[good good good]
138;400;[64 37];[bad bad]
142;134;[38 48 15 4];[bad bad good good]
141;344;[14 90];[bad good]
140;174;[46 9 26 11];[good good bad good]
143;152;[3 37 16 12 22];[good bad good good good]
145;106;[20 32 51];[bad bad bad]
144;318;[7 75 19];[good bad bad]
146;203;[19 0 65];[bad good bad]
150;123;[28 34 10 22];[good bad good good]
148;762;[130];[bad]
151;84;[21 24 21 7 10];[good bad good bad good]
147;750;[109];[bad]
149;853;[128];[bad]
152;180;[41 17 39];[good good good]
154;122;[35 4 66];[good good bad]
156;208;[3 22 74];[bad good good]
155;197;[59 21 13 1];[good good good good]
157;171;[14 40 46];[good bad good]
153;165;[45 92];[good good]
159;181;[29 39 22];[good good bad]
160;132;[59 27];[bad bad]
163;132;[0 47 30 12 4];[good good good good bad]
161;270;[35 0 28 38];[good good good good]
162;364;[27 63];[good bad]
158;625;[135];[bad]
166;136;[11 33 10 6 28];[good good good good good]
167;179;[21 3 34 41];[bad good good good]
164;386;[88];[bad]
170;183;[46 50];[good bad]
169;442;[78 25];[bad good]
171;135;[23 21 57];[bad bad bad]
173;143;[18 7 44 16];[good good good good]
172;169;[83 10];[bad good]
174;98;[24 29 38 16];[bad good bad good]
175;124;[19 31 0 39];[good good bad good]
168;926;[102 32];[good good]
176;154;[4 42 56];[bad bad good]
177;90;[11 12 35 31];[good good good bad]
178;117;[17 22 62];[good good bad]
179;248;[29 42 20];[bad bad bad]
180;152;[23 36 30];[good bad good]
181;203;[24 41 43];[good good good]
182;180;[20 20 40];[good good bad]
185;109;[27 116 7 12];[bad good good good]
183;462;[77 9];[bad bad]
165;1862;[94];[bad]
186;93;[55 8 19 13 3];[good good good bad good]
184;639;[87];[bad]
187;286;[66 18];[bad bad]
189;191;[90 55];[bad bad]
188;129;[32 37 20];[good bad bad]
191;117;[35 46 18];[good bad bad]
192;140;[23 3 34 1 19];[good good bad bad good]
190;273;[38 28 6 29];[good good good bad]
195;96;[13 18 14 16 25];[good good bad bad good]
196;301;[94 4 0];[good good good]
194;258;[50 55];[good bad]
197;353;[15 20 46];[good good good]
198;347;[21 89];[bad bad]
199;101;[63 17 0 0];[good bad bad bad]
200;303;[15 9 32 29];[bad good good good]
193;1787;[106];[bad]
